# Wavelength (µm)	QE
1.341	0.478634284
1.342	0.47875748
1.343	0.478704681
1.344	0.478933474
1.345	0.479822246
1.346	0.480517423
1.347	0.480975009
1.348	0.481406195
1.349	0.482004576
1.35	0.481406195
1.351	0.481388596
1.352	0.481775783
1.353	0.482532559
1.354	0.48312214
1.355	0.483808518
1.356	0.48313094
1.357	0.480587821
1.358	0.4812654
1.359	0.482074974
1.36	0.481168603
1.361	0.48281415
1.362	0.483694122
1.363	0.482928546
1.364	0.483078141
1.365	0.483403731
1.366	0.482338965
1.367	0.482541359
1.368	0.483922914
1.369	0.485260472
1.37	0.485735656
1.371	0.486826822
1.372	0.4875132
1.373	0.488991552
1.374	0.489290743
1.375	0.490892291
1.376	0.489616332
1.377	0.489044351
1.378	0.486087645
1.379	0.486026047
1.38	0.485128476
1.381	0.48655403
1.382	0.49000352
1.383	0.488093981
1.384	0.488560366
1.385	0.490839493
1.386	0.490408307
1.387	0.487785991
1.388	0.489537135
1.389	0.489141147
1.39	0.487126012
1.391	0.486105245
1.392	0.486694826
1.393	0.486853221
1.394	0.4843805
1.395	0.481458993
1.396	0.479144667
1.397	0.479012672
1.398	0.477851109
1.399	0.476161563
1.4	0.474516015
1.401	0.476082365
1.402	0.47532559
1.403	0.477789511
1.404	0.47595037
1.405	0.476416755
1.406	0.476011968
1.407	0.475079197
1.408	0.476531151
1.409	0.474260824
1.41	0.472949666
1.411	0.472140092
1.412	0.473856037
1.413	0.472861668
1.414	0.472386484
1.415	0.473900035
1.416	0.475827174
1.417	0.475422386
1.418	0.473776839
1.419	0.474947202
1.42	0.476988736
1.421	0.478211897
1.422	0.477789511
1.423	0.477305526
1.424	0.478845477
1.425	0.480218233
1.426	0.480447026
1.427	0.481758184
1.428	0.482101373
1.429	0.484019711
1.43	0.484565294
1.431	0.485146075
1.432	0.485885252
1.433	0.486413235
1.434	0.488322774
1.435	0.489642731
1.436	0.490188314
1.437	0.491217881
1.438	0.492221049
1.439	0.493998592
1.44	0.494887364
1.441	0.495987328
1.442	0.496893699
1.443	0.498257656
1.444	0.499296023
1.445	0.499859205
1.446	0.500483985
1.447	0.501372756
1.448	0.502428722
1.449	0.503502288
1.45	0.504021471
1.451	0.504857445
1.452	0.505992608
1.453	0.50689018
1.454	0.507752552
1.455	0.508095741
1.456	0.508518127
1.457	0.509134108
1.458	0.509530095
1.459	0.510031679
1.46	0.51001408
1.461	0.510058078
1.462	0.510190074
1.463	0.510207673
1.464	0.509767687
1.465	0.509820486
1.466	0.509292503
1.467	0.508597325
1.468	0.508474129
1.469	0.508174938
1.47	0.508148539
1.471	0.507699754
1.472	0.507083773
1.473	0.506450194
1.474	0.505491024
1.475	0.504971841
1.476	0.504338261
1.477	0.503370292
1.478	0.502543119
1.479	0.501627948
1.48	0.501135164
1.481	0.500140795
1.482	0.499331221
1.483	0.498574446
1.484	0.497474481
1.485	0.496840901
1.486	0.496180922
1.487	0.495406547
1.488	0.494737768
1.489	0.494121788
1.49	0.493373812
1.491	0.492828229
1.492	0.492344245
1.493	0.491525871
1.494	0.490725097
1.495	0.490232313
1.496	0.489774727
1.497	0.48938754
1.498	0.489158747
1.499	0.48876276
1.5	0.488639564
1.501	0.488472369
1.502	0.488533967
1.503	0.488269975
1.504	0.488252376
1.505	0.488217177
1.506	0.488516367
1.507	0.488349173
1.508	0.488269975
1.509	0.488454769
1.51	0.488472369
1.511	0.488718761
1.512	0.489334741
1.513	0.489765927
1.514	0.490276311
1.515	0.490733897
1.516	0.491455473
1.517	0.491992256
1.518	0.492529039
1.519	0.493215417
1.52	0.493892995
1.521	0.49469377
1.522	0.495424146
1.523	0.496207321
1.524	0.496981697
1.525	0.497685674
1.526	0.498310454
1.527	0.499172826
1.528	0.500237592
1.529	0.501223161
1.53	0.502059134
1.531	0.502859908
1.532	0.503915875
1.533	0.505042239
1.534	0.506019007
1.535	0.506978177
1.536	0.507910947
1.537	0.508306934
1.538	0.50907251
1.539	0.509978881
1.54	0.510982049
1.541	0.511677226
1.542	0.512478001
1.543	0.513278775
1.544	0.513965153
1.545	0.514757128
1.546	0.515065118
1.547	0.515901091
1.548	0.516376276
1.549	0.516904259
1.55	0.517282647
1.551	0.517907427
1.552	0.518268215
1.553	0.518497008
1.554	0.518725801
1.555	0.518972193
1.556	0.519280183
1.557	0.519341781
1.558	0.519403379
1.559	0.519412179
1.56	0.519236184
1.561	0.519016191
1.562	0.518831397
1.563	0.518541007
1.564	0.51812742
1.565	0.517898627
1.566	0.517467441
1.567	0.517089053
1.568	0.516499472
1.569	0.515857093
1.57	0.515276311
1.571	0.514915523
1.572	0.51405315
1.573	0.513278775
1.574	0.512645195
1.575	0.512011616
1.576	0.511043647
1.577	0.510480465
1.578	0.509565294
1.579	0.508799718
1.58	0.507840549
1.581	0.506898979
1.582	0.5062566
1.583	0.505508624
1.584	0.504910243
1.585	0.504435058
1.586	0.503722281
1.587	0.503335093
1.588	0.502569518
1.589	0.502164731
1.59	0.501381556
1.591	0.501135164
1.592	0.50063358
1.593	0.500158395
1.594	0.499744808
1.595	0.499269623
1.596	0.498882436
1.597	0.498565646
1.598	0.498486448
1.599	0.498072862
1.6	0.497940866
1.601	0.498055262
